Date ,series ,Open,HIGH ,LOW ,PREV. CLOSE ,ltp ,Price ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,Helper
24-Mar-20,EQ,911.85,"1,080.25",735.35,864.2,"1,080.25","1,018.95",870.53,"2,059.50",735.35,1063694,"925,975,992.05",52362,152
25-Mar-20,EQ,986,"1,273.65",970.05,"1,018.95","1,273.65","1,242.95","1,138.03","2,059.50",735.35,843375,"959,784,403.55",52028,153
26-Mar-20,EQ,"1,253.20","1,367.20","1,150.10","1,242.95","1,166.00","1,169.20","1,255.38","2,059.50",735.35,1257919,"1,579,160,831.15",92464,154
27-Mar-20,EQ,"1,180.00","1,275.00","1,160.50","1,169.20","1,201.00","1,201.25","1,220.87","2,059.50",735.35,663879,"810,508,417.80",50127,155
30-Mar-20,EQ,"1,150.00","1,201.00","1,103.15","1,201.25","1,166.00","1,131.15","1,140.65","2,059.50",735.35,533300,"608,310,215.00",43128,156
31-Mar-20,EQ,"1,201.00","1,217.00","1,131.35","1,131.15","1,147.15","1,147.75","1,162.59","2,059.50",735.35,330841,"384,633,886.75",27599,157
1-Apr-20,EQ,"1,135.00","1,205.00","1,066.40","1,147.75","1,179.00","1,164.10","1,128.58","2,059.50",735.35,337957,"381,412,909.00",20686,158
3-Apr-20,EQ,"1,171.10","1,182.00","1,011.05","1,164.10","1,035.00","1,037.55","1,093.20","2,059.50",735.35,512848,"560,644,958.90",34119,159
7-Apr-20,EQ,"1,071.00","1,116.15","1,042.00","1,037.55","1,104.00","1,102.55","1,091.81","2,059.50",735.35,328969,"359,171,535.30",23827,160
8-Apr-20,EQ,"1,100.00","1,159.30","1,062.50","1,102.55","1,107.00","1,101.00","1,110.59","2,059.50",735.35,350000,"388,704,938.70",28258,161
9-Apr-20,EQ,"1,116.15","1,151.50","1,104.00","1,101.00","1,110.00","1,110.85","1,121.97","2,059.50",735.35,259795,"291,481,649.25",24620,162
13-Apr-20,EQ,"1,100.00","1,110.00","1,061.35","1,110.85","1,075.00","1,075.35","1,081.65","2,059.50",735.35,210552,"227,743,209.55",13579,163
15-Apr-20,EQ,"1,115.00","1,131.00","1,071.40","1,075.35","1,092.00","1,092.30","1,097.38","2,059.50",735.35,506393,"555,707,261.60",28642,164
16-Apr-20,EQ,"1,080.00","1,115.00","1,054.20","1,092.30","1,076.65","1,079.10","1,078.45","2,059.50",735.35,452690,"488,204,037.85",31609,165
17-Apr-20,EQ,"1,101.00","1,164.50","1,101.00","1,079.10","1,120.00","1,112.20","1,127.80","2,059.50",735.35,475932,"536,754,603.10",23501,166
20-Apr-20,EQ,"1,125.00","1,136.90","1,080.00","1,112.20","1,084.75","1,088.35","1,101.47","2,059.50",735.35,525659,"578,998,154.50",27737,167
21-Apr-20,EQ,"1,075.00","1,075.00","1,028.50","1,088.35","1,042.20","1,040.85","1,044.74","2,059.50",735.35,349913,"365,566,387.95",22009,168
22-Apr-20,EQ,"1,042.00","1,099.00","1,019.40","1,040.85","1,095.00","1,080.75","1,057.61","2,059.50",735.35,378375,"400,174,061.55",32157,169
23-Apr-20,EQ,"1,083.50","1,220.15","1,083.50","1,080.75","1,177.80","1,178.65","1,170.87","2,059.50",735.35,864933,"1,012,723,521.40",44064,170
24-Apr-20,EQ,"1,181.00","1,199.00","1,085.25","1,178.65","1,113.00","1,116.10","1,132.83","2,059.50",735.35,945001,"1,070,524,418.40",36041,171
27-Apr-20,EQ,"1,130.00","1,173.80","1,078.30","1,116.10","1,121.55","1,121.50","1,123.04","2,059.50",735.35,1040984,"1,169,069,260.45",35616,172
28-Apr-20,EQ,"1,140.00","1,215.90","1,136.75","1,121.50","1,177.00","1,178.90","1,182.62","2,059.50",735.35,1442053,"1,705,402,682.40",66827,173
29-Apr-20,EQ,"1,185.00","1,247.00","1,161.75","1,178.90","1,179.85","1,181.85","1,215.60","2,059.50",735.35,1396991,"1,698,186,078.45",63181,174
30-Apr-20,EQ,"1,205.00","1,245.45","1,192.90","1,181.85","1,205.00","1,203.45","1,224.41","2,059.50",735.35,657726,"805,326,214.70",32915,175
4-May-20,EQ,"1,166.00","1,225.00","1,152.10","1,203.45","1,183.00","1,181.50","1,195.41","2,059.50",735.35,900476,"1,076,435,161.75",50161,176
5-May-20,EQ,"1,205.00","1,235.00","1,174.75","1,181.50","1,200.00","1,189.75","1,206.70","2,059.50",735.35,801208,"966,817,866.35",41306,177
6-May-20,EQ,"1,234.90","1,448.00","1,225.50","1,189.75","1,415.05","1,418.80","1,357.16","2,059.50",735.35,5148456,"6,987,264,922.20",253708,178
7-May-20,EQ,"1,401.00","1,414.35","1,350.15","1,418.80","1,365.50","1,373.85","1,375.32","2,059.50",735.35,1354819,"1,863,312,561.50",61061,179
8-May-20,EQ,"1,385.00","1,431.95","1,360.10","1,373.85","1,400.00","1,402.55","1,407.33","2,059.50",735.35,1296521,"1,824,634,327.15",66799,180
11-May-20,EQ,"1,405.05","1,465.95","1,400.00","1,402.55","1,450.00","1,436.60","1,434.96","2,059.50",735.35,821363,"1,178,621,949.30",52559,181
12-May-20,EQ,"1,420.00","1,454.90","1,396.10","1,436.60","1,427.10","1,431.00","1,429.47","2,059.50",735.35,649246,"928,080,350.50",43251,182
13-May-20,EQ,"1,488.00","1,488.00","1,408.05","1,431.00","1,418.50","1,419.25","1,429.77","2,059.50",735.35,395733,"565,806,614.55",24678,183
14-May-20,EQ,"1,401.00","1,404.95","1,326.15","1,419.25","1,348.00","1,345.40","1,361.02","2,059.50",735.35,435909,"593,283,041.25",26169,184
15-May-20,EQ,"1,354.95","1,375.00","1,334.10","1,345.40","1,359.00","1,358.65","1,355.63","2,059.50",735.35,361711,"490,345,792.70",22584,185
18-May-20,EQ,"1,369.85","1,390.95","1,330.20","1,358.65","1,349.00","1,344.35","1,364.94","2,059.50",735.35,746100,"1,018,380,213.90",35186,186
